Processes	Seconds
1		54.637222
2		27.269285
3		18.192242
4		13.637159
5		13.672870
6		13.758781
7		13.843741
8		13.652173
9		13.711178
10		13.711935
11		13.787184
12		13.679381
13		13.741559
14		13.741461
15		13.759154
16		13.684772
17		13.763175
18		13.713669
19		13.747767
20		13.710066
21		13.726877
22		13.706762
23		13.701595
24		13.703129
25		13.716288
26		13.706807
27		13.711585
28		13.722634
29		13.769231
30		13.707869
31		13.738169
32		13.723348
33		13.774715
34		13.771883
35		13.701809
36		13.728316
37		13.727147
38		13.781059
39		13.714005
40		13.738678
41		13.712959
42		13.748980
43		13.740328
44		13.715014
45		13.679141
46		13.699315
47		13.774546
48		13.730307
49		13.680187
50		13.713006
51		13.707061
52		13.678605
53		13.750737
54		13.724820
55		13.685301
56		13.780361
57		13.668074
58		13.669947
59		13.796530
60		13.785901
61		13.661287
62		13.687186
63		13.753449
64		13.752079
65		13.722601
66		13.691816
67		13.641431
68		13.697158
69		13.765270
70		13.620550
71		13.703665
72		13.624512
73		13.736747
74		13.648697
75		13.620631
76		13.618634
77		13.647556
78		13.642947
79		13.664650
80		13.667957
81		13.764270
82		13.667955
83		13.703874
84		13.584418
85		13.699204
86		13.596680
87		13.557066
88		13.671294
89		13.570416
90		13.595252
91		13.589845
92		13.519638
93		13.671618
94		13.669705
95		13.530600
96		13.467212
97		13.465468
98		13.531528
99		13.553829
100		13.565145
